15,16,40
15,16,100
15,21,35
15,21,70
15,22,55
15,24,40
15,24,80
15,26,65
15,28,35
15,28,70
15,32,40
15,32,80
15,33,55
15,34,85
15,38,95
15,39,65
15,42,70
15,44,55
15,48,80
15,51,85
15,52,65
15,56,70
15,57,95
15,64,80
15,68,85
15,76,95
16,20,25
16,20,35
16,20,45
16,20,55
16,20,65
16,20,75
16,20,85
16,20,95
16,20,105
16,21,28
16,21,56
16,27,36
16,27,72
16,28,35
16,28,49
16,28,63
16,28,77
16,28,91
16,28,105
16,33,44
16,33,88
16,36,45
16,36,63
16,36,81
16,36,99
16,39,52
16,39,104
16,44,55
16,44,77
16,44,99
16,45,60
16,51,68
16,52,65
16,52,91
16,57,76
16,60,75
16,60,105
16,63,84
16,68,85
16,69,92
16,75,100
16,76,95
16,81,108
16,84,105
18,20,45
18,22,99
18,26,117
18,28,63
18,44,99
18,52,117
20,21,35
20,21,70
20,22,55
20,26,65
20,27,45
20,27,90
20,28,35
20,28,105
20,33,55
20,33,110
20,34,85
20,36,45
20,36,135
20,38,95
20,39,65
20,39,130
20,42,105
20,44,55
20,46,115
20,51,85
20,52,65
20,54,135
20,57,95
20,63,105
20,68,85
20,69,115
20,76,95
20,81,135
20,84,105
20,92,115
20,108,135
21,22,77
21,24,56
21,24,112
21,26,91
21,30,70
21,30,140
21,32,56
21,32,112
21,33,77
21,34,119
21,38,133
21,39,91
21,40,70
21,40,140
21,44,77
21,48,112
21,51,119
21,52,91
21,57,133
21,60,140
21,64,112
21,68,119
21,76,133
21,80,140
22,26,143
22,27,99
22,28,77
22,36,99
22,39,143
22,52,143
24,33,88
24,39,104
24,51,136
24,57,152
26,27,117
26,28,91
26,33,143
26,36,117
26,44,143
27,28,63
27,28,126
27,32,72
27,32,144
27,34,153
27,38,171
27,40,90
27,40,180
27,44,99
27,52,117
27,56,126
27,64,144
27,68,153
27,76,171
27,80,180
28,30,105
28,33,77
28,33,154
28,34,119
28,36,63
28,36,189
28,38,133
28,39,91
28,39,182
28,44,77
28,45,105
28,46,161
28,50,175
28,51,119
28,52,91
28,54,189
28,57,133
28,60,105
28,68,119
28,69,161
28,75,175
28,76,133
28,81,189
28,92,161
28,100,175
28,108,189
30,33,110
30,39,130
30,44,165
30,51,170
30,52,195
30,57,190
32,33,88
32,33,176
32,39,104
32,39,208
32,45,120
32,51,136
32,57,152
32,63,168
32,69,184
32,75,200
32,81,216
33,34,187
33,38,209
33,39,143
33,40,110
33,40,220
33,42,154
33,48,176
33,51,187
33,52,143
33,56,154
33,57,209
33,60,220
33,64,176
33,68,187
33,76,209
33,80,220
34,36,153
34,39,221
34,44,187
34,52,221
36,38,171
36,44,99
36,46,207
36,50,225
36,52,117
36,68,153
36,76,171
36,92,207
36,100,225
38,39,247
38,44,209
38,52,247
39,40,130
39,40,260
39,42,182
39,44,143
39,48,208
39,51,221
39,56,182
39,57,247
39,60,260
39,64,208
39,68,221
39,76,247
39,80,260
40,51,170
40,57,190
40,63,210
40,69,230
40,81,270
42,44,231
42,51,238
42,52,273
42,57,266
44,45,165
44,46,253
44,50,275
44,51,187
44,52,143
44,54,297
44,57,209
44,60,165
44,63,231
44,68,187
